epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,423.847,2.70598,4.67042,2.81363,0.35716,0.08501,0.03827,0.01387,2.28641,3.56444,2.22649,0.000330918,0.000330918,0.000330918
2,794.826,2.0905,3.2876,1.99421,0.36771,0.16177,0.12733,0.05913,1.97843,2.92184,1.85939,0.000596496,0.000596496,0.000596496
3,1155.65,1.88898,2.85758,1.76345,0.35022,0.2157,0.1947,0.09961,1.82102,2.62907,1.69044,0.000729033,0.000729033,0.000729033
4,1528.95,1.77672,2.60968,1.65272,0.35999,0.26775,0.24705,0.13113,1.73786,2.37627,1.59563,0.000639049,0.000639049,0.000639049
5,1895.47,1.69553,2.4391,1.57654,0.40467,0.29801,0.29431,0.16364,1.64063,2.21969,1.51702,0.000549065,0.000549065,0.000549065
6,2259.92,1.63849,2.30995,1.52458,0.44216,0.32526,0.32773,0.18532,1.59846,2.12393,1.48494,0.000459081,0.000459081,0.000459081
7,2625.34,1.5962,2.20908,1.48626,0.47378,0.3439,0.34902,0.20183,1.56538,2.06953,1.45545,0.000369098,0.000369098,0.000369098
8,2991.46,1.55838,2.13256,1.45398,0.50649,0.36197,0.37588,0.22213,1.52228,1.96214,1.42039,0.000279114,0.000279114,0.000279114
9,3358.89,1.52804,2.05817,1.42661,0.51008,0.37739,0.39353,0.234,1.5064,1.90161,1.39256,0.00018913,0.00018913,0.00018913
10,3726.65,1.50195,2.0036,1.40223,0.53827,0.37785,0.40718,0.24479,1.48817,1.87893,1.37962,9.91464e-05,9.91464e-05,9.91464e-05
