epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,435.149,2.70588,4.30294,3.35302,0.27412,0.09874,0.03576,0.01364,2.27053,3.28564,2.63549,0.000334728,0.000334728,0.000334728
2,817.305,2.08397,3.0321,2.37718,0.28835,0.16368,0.13106,0.06082,1.98264,2.71768,2.22652,0.000603418,0.000603418,0.000603418
3,1186.34,1.87941,2.63795,2.10673,0.43165,0.2149,0.19154,0.09813,1.81372,2.38898,2.02091,0.00072918,0.00072918,0.00072918
4,1540.24,1.76096,2.41347,1.96934,0.36587,0.26047,0.24369,0.13146,1.70846,2.21557,1.8879,0.00063927,0.00063927,0.00063927
5,1894.52,1.68013,2.24959,1.87706,0.40424,0.30305,0.29366,0.16385,1.6369,2.0376,1.80551,0.00054936,0.00054936,0.00054936
6,2246.59,1.62086,2.12931,1.80769,0.45518,0.3249,0.32605,0.18679,1.5887,1.98465,1.77017,0.00045945,0.00045945,0.00045945
7,2596.97,1.57805,2.02991,1.76328,0.46766,0.33803,0.34186,0.19928,1.55531,1.91516,1.74125,0.000369539,0.000369539,0.000369539
8,2950.21,1.54315,1.95844,1.72936,0.52414,0.35724,0.37949,0.22629,1.51034,1.80953,1.68533,0.000279629,0.000279629,0.000279629
9,3310.81,1.51079,1.88964,1.69543,0.53999,0.3715,0.39856,0.24076,1.48961,1.75339,1.66052,0.000189719,0.000189719,0.000189719
10,3668.79,1.4824,1.83535,1.66713,0.54784,0.38007,0.40885,0.24709,1.47519,1.73365,1.64389,9.98091e-05,9.98091e-05,9.98091e-05
