epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,431.684,2.90431,4.2778,3.00072,0.41718,0.07135,0.03904,0.01405,2.48414,3.31692,2.39979,0.000334728,0.000334728,0.000334728
2,811.924,2.25611,3.04437,2.14738,0.37969,0.16522,0.12835,0.05795,2.1556,2.65908,1.97136,0.000603464,0.000603464,0.000603464
3,1185.6,2.03784,2.63251,1.89572,0.32288,0.20998,0.184,0.09128,1.97909,2.41939,1.82368,0.000729303,0.000729303,0.000729303
4,1561.51,1.90187,2.39697,1.76496,0.35396,0.2675,0.24807,0.13455,1.83501,2.18667,1.69744,0.000639455,0.000639455,0.000639455
5,1939.12,1.80924,2.22741,1.67631,0.40667,0.30398,0.29692,0.16603,1.75777,2.01511,1.61548,0.000549607,0.000549607,0.000549607
6,2314.28,1.74679,2.11096,1.61823,0.46383,0.31969,0.32667,0.18961,1.70584,1.96278,1.57588,0.000459759,0.000459759,0.000459759
7,2688.38,1.69638,2.00823,1.57292,0.48965,0.33257,0.34601,0.2021,1.67627,1.90111,1.55158,0.00036991,0.00036991,0.00036991
8,3066.28,1.65648,1.93888,1.53965,0.51445,0.35473,0.37722,0.22533,1.63399,1.81112,1.50424,0.000280062,0.000280062,0.000280062
9,3444.83,1.62288,1.87293,1.5104,0.53936,0.36989,0.39796,0.23896,1.60509,1.74595,1.47564,0.000190214,0.000190214,0.000190214
10,3832.99,1.59487,1.8174,1.48645,0.56465,0.36832,0.40776,0.24768,1.59278,1.73006,1.46876,0.000100365,0.000100365,0.000100365
