epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1242.98,0.83781,0.98127,1.17631,0.77399,0.70079,0.74227,0.56581,0.88665,0.95793,1.18465,0.000415522,0.000415522,0.000415522
2,2508.65,0.90333,1.06073,1.21915,0.73278,0.65192,0.6939,0.51636,0.94821,1.11324,1.23918,0.000667415,0.000667415,0.000667415
3,3792.95,0.90695,1.07984,1.22959,0.63735,0.69373,0.68488,0.51552,0.92126,1.14651,1.2254,0.000754309,0.000754309,0.000754309
4,5060.07,0.8665,1.02726,1.20299,0.73812,0.72671,0.73576,0.56129,0.87761,0.96593,1.17381,0.0005075,0.0005075,0.0005075
5,6349.32,0.81361,0.93668,1.16295,0.74867,0.73692,0.76144,0.58941,0.84306,0.89617,1.15605,0.00026,0.00026,0.00026
