epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14141.9,2.4996,2.2912,2.95663,0.39167,0.10382,0.07523,0.03291,2.00413,1.67589,2.22158,0.000310906,0.000310906,0.000310906
2,27978.2,1.80552,1.56227,1.99455,0.40664,0.21012,0.18601,0.0977,1.69708,1.32105,1.88288,0.000499138,0.000499138,0.000499138
3,41486.5,1.63027,1.36049,1.81755,0.45741,0.26379,0.26281,0.15067,1.56395,1.1603,1.75072,0.000504215,0.000504215,0.000504215
4,55075.8,1.52355,1.24035,1.72015,0.46665,0.29817,0.30902,0.18448,1.48589,1.0701,1.67131,0.000339822,0.000339822,0.000339822
