epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.403,3.95521,8.17095,5.26306,0.00482,0.00962,0.00238,0.00064,3.77317,6.61406,4.90031,0.0038892,0.0038892,0.0038892
2,382.663,3.31227,6.80605,4.14255,0.231,0.11148,0.03781,0.01256,2.83348,5.708,3.46342,0.00774549,0.00774549,0.00774549
3,551.565,2.51421,5.16789,3.04777,0.21693,0.19446,0.13198,0.05931,2.36871,4.54536,2.8135,0.00990107,0.00990107,0.00990107
4,721.633,2.18102,4.32382,2.59503,0.32864,0.26503,0.2323,0.12159,2.14378,3.84261,2.51666,0.0098516,0.0098516,0.0098516
5,891.625,2.04188,3.94012,2.41575,0.45731,0.28259,0.29671,0.16338,2.05087,3.56128,2.38783,0.00980214,0.00980214,0.00980214
6,1060.6,1.9616,3.69563,2.3174,0.44729,0.32219,0.32397,0.18332,1.95539,3.38993,2.288,0.00975267,0.00975267,0.00975267
7,1229.58,1.89873,3.52161,2.24064,0.49933,0.33821,0.36388,0.21139,1.89359,3.17415,2.19841,0.0097032,0.0097032,0.0097032
8,1399.14,1.85483,3.39541,2.19131,0.52394,0.37018,0.39823,0.23273,1.86229,3.01951,2.16232,0.00965374,0.00965374,0.00965374
9,1568.18,1.82272,3.28529,2.14865,0.54732,0.38611,0.41771,0.24996,1.82012,2.9285,2.12532,0.00960427,0.00960427,0.00960427
10,1737.16,1.78641,3.18881,2.11399,0.56438,0.39623,0.43954,0.2635,1.78519,2.84251,2.06742,0.00955481,0.00955481,0.00955481
11,1905.86,1.76463,3.11227,2.07655,0.58403,0.40167,0.44722,0.27144,1.7536,2.76481,2.03225,0.00950534,0.00950534,0.00950534
12,2075.17,1.73882,3.04367,2.05076,0.59956,0.41857,0.47021,0.28804,1.73432,2.69328,2.01951,0.00945587,0.00945587,0.00945587
13,2244.1,1.7195,2.98109,2.02849,0.59692,0.44171,0.48593,0.29871,1.70734,2.63579,1.97803,0.00940641,0.00940641,0.00940641
14,2413,1.70198,2.92362,2.00672,0.62545,0.45009,0.49774,0.30549,1.69889,2.58273,1.96304,0.00935694,0.00935694,0.00935694
15,2581.02,1.68181,2.89738,1.99093,0.63991,0.44192,0.49818,0.30906,1.67709,2.54955,1.93914,0.00930748,0.00930748,0.00930748
16,2749.35,1.67324,2.85635,1.97525,0.64206,0.45052,0.50587,0.315,1.65297,2.49942,1.92179,0.00925801,0.00925801,0.00925801
17,2918.23,1.65967,2.81813,1.95834,0.64163,0.45606,0.51516,0.32174,1.64497,2.47856,1.90572,0.00920854,0.00920854,0.00920854
18,3086.9,1.64773,2.76835,1.94173,0.62658,0.46248,0.51857,0.32657,1.63227,2.43511,1.88659,0.00915908,0.00915908,0.00915908
19,3255.18,1.63232,2.74088,1.92707,0.66092,0.46453,0.53107,0.3359,1.61731,2.39596,1.87626,0.00910961,0.00910961,0.00910961
