epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1256.61,0.77132,0.87894,1.12994,0.76224,0.70096,0.73772,0.5488,0.90072,0.96191,1.19359,0.000415522,0.000415522,0.000415522
2,2531.39,0.80818,0.91172,1.15458,0.77141,0.65934,0.71163,0.53443,0.93046,1.07932,1.22745,0.000667415,0.000667415,0.000667415
3,3821.69,0.81501,0.95382,1.15967,0.70723,0.67898,0.69619,0.51986,0.93735,1.07391,1.23681,0.000754309,0.000754309,0.000754309
4,5091.68,0.80269,0.9117,1.15736,0.76052,0.71119,0.74318,0.56459,0.87884,0.9328,1.1847,0.0005075,0.0005075,0.0005075
5,6383.99,0.77206,0.86821,1.13323,0.758,0.73353,0.75851,0.58471,0.85188,0.87939,1.15584,0.00026,0.00026,0.00026
