epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,431.329,3.18206,4.37281,3.2803,0.40928,0.0344,0.02497,0.00885,2.71201,3.5183,2.66484,0.000302821,0.000302821,0.000302821
2,808.882,2.46534,3.09572,2.32302,0.22594,0.16023,0.12242,0.05599,2.34983,2.68196,2.13642,0.000545845,0.000545845,0.000545845
3,1180.59,2.23155,2.69407,2.06531,0.28201,0.20684,0.16901,0.08124,2.1517,2.4317,1.97534,0.000728875,0.000728875,0.000728875
4,1551.48,2.09458,2.46047,1.92697,0.36339,0.2573,0.24396,0.12988,2.00468,2.19584,1.83745,0.000639027,0.000639027,0.000639027
5,1922.23,1.98819,2.29309,1.83106,0.39225,0.2957,0.28198,0.15469,1.92344,2.07817,1.75845,0.000549036,0.000549036,0.000549036
6,2290.8,1.91824,2.16686,1.76392,0.43557,0.31064,0.31238,0.17883,1.86518,1.98586,1.71183,0.000459045,0.000459045,0.000459045
7,2660.62,1.8661,2.07041,1.71611,0.47275,0.33335,0.33714,0.19718,1.82421,1.92895,1.67172,0.000369054,0.000369054,0.000369054
8,3030.02,1.82242,1.99525,1.67841,0.50452,0.34838,0.3661,0.21745,1.78353,1.84932,1.63937,0.000279063,0.000279063,0.000279063
9,3402.96,1.78586,1.9254,1.64863,0.50208,0.36279,0.38377,0.23043,1.75475,1.7762,1.60488,0.000189072,0.000189072,0.000189072
10,3775.29,1.75281,1.8702,1.62209,0.54116,0.36448,0.39669,0.24068,1.73328,1.75054,1.59082,9.9081e-05,9.9081e-05,9.9081e-05
