epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,424.184,2.88232,4.33076,3.44613,0.40083,0.04644,0.03201,0.01135,2.49658,3.36304,2.80119,0.000302821,0.000302821,0.000302821
2,798.276,2.21408,3.04381,2.43268,0.30374,0.15314,0.12957,0.05792,2.1109,2.69998,2.23441,0.000545845,0.000545845,0.000545845
3,1161.2,1.99833,2.64008,2.15252,0.34528,0.21186,0.19477,0.09956,1.92254,2.37176,2.05304,0.000728875,0.000728875,0.000728875
4,1524.91,1.88041,2.42137,2.01872,0.37286,0.26913,0.25247,0.13562,1.81387,2.17406,1.91971,0.000639027,0.000639027,0.000639027
5,1883.84,1.79622,2.26405,1.92605,0.41152,0.29512,0.29175,0.15967,1.74173,2.03495,1.85731,0.000549036,0.000549036,0.000549036
6,2248.83,1.7363,2.13481,1.85845,0.45249,0.31933,0.32154,0.1841,1.69225,1.96471,1.81665,0.000459045,0.000459045,0.000459045
7,2613.33,1.68489,2.0422,1.81012,0.47482,0.33284,0.34018,0.19795,1.65575,1.91617,1.77589,0.000369054,0.000369054,0.000369054
8,2974.81,1.64597,1.9704,1.7708,0.51198,0.35175,0.36878,0.21712,1.61777,1.83269,1.7306,0.000279063,0.000279063,0.000279063
9,3343.94,1.61467,1.90225,1.74086,0.5296,0.35936,0.38869,0.23189,1.59265,1.76789,1.70239,0.000189072,0.000189072,0.000189072
10,3707.75,1.58397,1.84524,1.70951,0.52764,0.37014,0.40145,0.24283,1.57394,1.74035,1.68526,9.9081e-05,9.9081e-05,9.9081e-05
