epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,440.928,2.6069,4.66298,2.64327,0.35302,0.06177,0.03866,0.01364,2.23549,3.61599,2.14243,0.00033451,0.00033451,0.00033451
2,827.309,2.00812,3.27289,1.87643,0.25323,0.17134,0.13149,0.05993,1.93653,2.85004,1.71855,0.000603122,0.000603122,0.000603122
3,1536.72,1.81346,2.8413,1.66084,0.42489,0.20923,0.19862,0.10145,1.74735,2.60522,1.57405,0.000729443,0.000729443,0.000729443
4,1905.54,1.704,2.58698,1.55338,0.38349,0.27891,0.26397,0.14026,1.6676,2.35826,1.47807,0.000639665,0.000639665,0.000639665
5,2273.85,1.62548,2.41223,1.48038,0.42041,0.30231,0.29913,0.16679,1.58583,2.20884,1.43539,0.000549887,0.000549887,0.000549887
6,2642.45,1.57089,2.28579,1.42929,0.46193,0.33008,0.33762,0.193,1.53603,2.10652,1.39569,0.000460109,0.000460109,0.000460109
7,3011.19,1.53,2.17625,1.39057,0.49458,0.3513,0.3619,0.21074,1.50205,2.036,1.35415,0.00037033,0.00037033,0.00037033
8,3379.85,1.49309,2.09547,1.36158,0.51946,0.36631,0.38425,0.22817,1.4748,1.96673,1.33628,0.000280552,0.000280552,0.000280552
9,3746.7,1.46219,2.0181,1.33596,0.53626,0.37735,0.40496,0.2427,1.44882,1.89713,1.30905,0.000190774,0.000190774,0.000190774
10,4113.45,1.4369,1.96138,1.31303,0.54825,0.39081,0.41695,0.2518,1.43394,1.87039,1.29858,0.000100995,0.000100995,0.000100995
