epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12964.4,0.50054,1.38476,1.52962,0.6945,0.52589,0.60135,0.40109,0.4789,1.17119,1.45001,0.00796984,0.00796984,0.00796984
43,13226.6,0.49855,1.37801,1.52191,0.69965,0.52715,0.60212,0.40256,0.47807,1.16826,1.44673,0.00792033,0.00792033,0.00792033
44,13482.9,0.49925,1.37074,1.51825,0.70873,0.52227,0.60285,0.40366,0.47732,1.16565,1.44419,0.00787081,0.00787081,0.00787081
45,13744.6,0.49677,1.36801,1.51645,0.70872,0.52462,0.60364,0.40366,0.47671,1.16348,1.44237,0.0078213,0.0078213,0.0078213
46,14002.3,0.4956,1.36006,1.51524,0.70695,0.52678,0.60451,0.40464,0.47608,1.16045,1.44098,0.00777178,0.00777178,0.00777178
47,14263,0.4964,1.36241,1.51141,0.70757,0.52764,0.60477,0.40548,0.4753,1.15828,1.43878,0.00772226,0.00772226,0.00772226
48,14522,0.4944,1.35772,1.51065,0.70994,0.52886,0.60591,0.40601,0.47465,1.15668,1.43709,0.00767275,0.00767275,0.00767275
49,14778.8,0.49286,1.35166,1.5088,0.6955,0.53589,0.60642,0.40705,0.47422,1.15499,1.4357,0.00762323,0.00762323,0.00762323
50,15036.7,0.4917,1.34384,1.50293,0.70154,0.53384,0.60727,0.40742,0.47374,1.15272,1.43439,0.00757372,0.00757372,0.00757372
51,15297.5,0.49242,1.34335,1.50408,0.70165,0.53498,0.60821,0.40787,0.47334,1.15126,1.43295,0.0075242,0.0075242,0.0075242
52,15559.2,0.48994,1.34241,1.49795,0.69989,0.53512,0.60921,0.40898,0.47306,1.15,1.43183,0.00747468,0.00747468,0.00747468
53,15817.6,0.49161,1.33935,1.49935,0.6977,0.5377,0.60913,0.40904,0.47273,1.14909,1.43086,0.00742517,0.00742517,0.00742517
54,16069.6,0.48985,1.33559,1.49636,0.6958,0.53932,0.6093,0.40985,0.47227,1.14772,1.42981,0.00737565,0.00737565,0.00737565
55,16323,0.49047,1.32953,1.49207,0.69947,0.5376,0.61001,0.4101,0.472,1.14645,1.4287,0.00732614,0.00732614,0.00732614
56,16577.9,0.48995,1.33056,1.49204,0.69104,0.54433,0.61086,0.41095,0.47182,1.14521,1.42767,0.00727662,0.00727662,0.00727662
57,16834.9,0.4886,1.32202,1.48669,0.69479,0.54343,0.61093,0.41137,0.4715,1.14422,1.42676,0.0072271,0.0072271,0.0072271
58,17093.2,0.48851,1.32256,1.48765,0.6957,0.54273,0.61159,0.41202,0.47128,1.14317,1.42581,0.00717759,0.00717759,0.00717759
