epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1265.36,0.66821,0.69813,1.06272,0.75761,0.72183,0.71628,0.53271,0.9091,0.95478,1.20115,0.000415522,0.000415522,0.000415522
2,2533.56,0.66971,0.68613,1.06204,0.74712,0.64714,0.69328,0.52434,0.92255,1.12712,1.23219,0.000667415,0.000667415,0.000667415
3,3792.27,0.69577,0.73826,1.07762,0.73544,0.71834,0.73182,0.54893,0.92559,0.98036,1.22889,0.000754309,0.000754309,0.000754309
4,5083.55,0.69386,0.72842,1.08373,0.7459,0.71647,0.72404,0.54383,0.89328,0.95462,1.20129,0.0005075,0.0005075,0.0005075
5,6422.51,0.70409,0.73752,1.08832,0.79049,0.72217,0.75296,0.57707,0.86348,0.86964,1.17143,0.00026,0.00026,0.00026
