epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1269.84,0.69667,0.74531,1.07879,0.7303,0.72263,0.71691,0.54282,0.89373,0.98612,1.19767,0.000415522,0.000415522,0.000415522
2,2552.49,0.70938,0.75231,1.0866,0.71124,0.68887,0.70804,0.52315,0.94329,1.09309,1.24814,0.000667415,0.000667415,0.000667415
3,3810.51,0.72681,0.79322,1.0996,0.76858,0.66962,0.7153,0.52959,0.94249,1.02448,1.23988,0.000754309,0.000754309,0.000754309
4,5084.8,0.71658,0.77946,1.09952,0.77054,0.71559,0.74967,0.56945,0.87721,0.91455,1.18231,0.0005075,0.0005075,0.0005075
5,6370.09,0.72383,0.77468,1.10063,0.76074,0.75267,0.75112,0.56831,0.87712,0.87465,1.18397,0.00026,0.00026,0.00026
